id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
apt-0266,David Copperfield,David,Copperfield,magician,arts,,United States,1956,,wordplay,2,Copperfield,Copperfield borrows Dickens's conjurer name for a stage magician.,,professional_name,https://en.wikipedia.org/wiki/David_Copperfield_(illusionist),,,Birth name David Seth Kotkin. Audit: Copperfield borrowed Dickens conjurer name for stage magician; birth name David Kotkin.,verified
apt-0295,Dennis Boyd,Dennis,Boyd,MLB pitcher,sports,Boston Red Sox,United States,1959,1989,semantic,3,Oil Can,His nickname Oil Can referred to the oil cans he drank from as a child.,,professional_name,https://en.wikipedia.org/wiki/Oil_Can_Boyd,,,"Dennis Ray Boyd, pitcher for the Red Sox, Expos and Rangers, 1982-91. Born 6 October 1959, not 1960. Audit: The Baseball Reference slug was wrong and returned 404. Replaced with Wikipedia, which also corrects the birth year. The row fails anyway: Oil Can is a nickname from drinking beer from oil cans in Mississippi and has no relation to pitching.",rejected
apt-0302,Deward Dopson,Deward,Dopson,NBA center,sports,Minneapolis Lakers,United States,1929,2015,phonetic,4,Swish,His nickname Swish names the sound of a perfect shot.,,professional_name,https://www.basketball-reference.com/players/d/dopsode01.html,,,"Known by nickname Swish. Audit: Swish was a nickname awarded for his shooting, so the name describes the achievement rather than anticipating it.",rejected
apt-0311,Doc Strong,Doc,Strong,freestyle wrestler,sports,,United States,1916,1952,semantic,4,Strong,"Strong suggests physical power, apt for an Olympic lightweight wrestler.",,pseudonym,https://www.olympedia.org/athletes/60773,,,Birth name Harley de Witt Strong Jr.; nickname Doc. Flagged automatically: connection wording asserts a loose link.,borderline
apt-0320,Dorothea Lange,Dorothea,Lange,photographer,arts,,United States,1895,1965,translation,3,Lange,"Lange means long in German, apt for her sweeping documentary frames.",German: long,professional_name,https://en.wikipedia.org/wiki/Dorothea_Lange,https://en.wiktionary.org/wiki/lang,,Migrant Mother photographer. Audit: Lange means long in German for documentary frames is weak translation on photographer. Wikipedia gives the birth name as Dorothea Margaretta Nutzhorn.,rejected
apt-0371,Faith Popcorn,Faith,Popcorn,marketing consultant,business,,United States,1943,,semantic,2,Popcorn,Her chosen professional surname is a foodstuff and she consulted for the food industry.,,professional_name,https://en.wikipedia.org/wiki/Faith_Popcorn,,https://en.wikipedia.org/wiki/Nominative_determinism,"Audit: Born Faith Plotkin: she adopted the surname Popcorn, so the fit is manufactured rather than coincidental, and her work is trend forecasting rather than confectionery. Wikipedia gives the birth name as Faith Plotkin.",borderline
apt-0393,Fred Astaire,Fred,Astaire,dancer and actor,arts,,United States,1899,1987,phonetic,3,Astaire,"Astaire sounds like stair, apt for a dancer famed for ascending steps.",,professional_name,https://en.wikipedia.org/wiki/Fred_Astaire,,,Born Frederick Austerlitz. Audit: Astaire sounds like stair for dancer is phonetic padding; born Frederick Austerlitz. Wikipedia gives the birth name as Frederick Austerlitz.,rejected
apt-0408,Gary Numan,Gary,Numan,musician,arts,,England,1958,,phonetic,3,Numan,"Numan is pronounced like new man, apt for a synth-pop innovator.",,professional_name,https://en.wikipedia.org/wiki/Gary_Numan,,https://en.wikipedia.org/wiki/Aptronym,Birth name Gary Anthony James Webb.,verified
apt-0434,George Suttles,George,Suttles,Negro leagues first baseman,sports,Birmingham Black Barons,United States,1900,1966,semantic,3,Mule,His nickname Mule Suttles reflected his powerful hitting like a mule's strength.,,professional_name,https://www.baseball-reference.com/players/s/suttlge01.shtml,,,"Known as Mule Suttles. Audit: Mule was a nickname awarded for his hitting power, as the row's own sentence concedes.",rejected
apt-0446,Ginger Zee,Ginger,Zee,chief meteorologist,weather,ABC News,United States,1981,,phonetic|translation,3,Zee,"Her professional surname Zee is Dutch for sea, homophone of the letter C in sea.",Dutch,professional_name,https://en.wikipedia.org/wiki/Ginger_Zee,https://en.wiktionary.org/wiki/zee,,Birth name Ginger Renee Zuidgeest; Zee adopted for broadcast.,verified
apt-0476,"Harold ""Jack"" Frost",Harold,Frost,Meteorologist in Charge,weather,National Weather Service Lubbock,United States,,2000,semantic,5,Frost,"His surname Frost is the ice-crystal coating that forms in cold, calm weather.",,unknown,https://www.weather.gov/lub/lubhistory,https://en.wiktionary.org/wiki/frost,,Known as Jack Frost; NWS Lubbock history page.,verified
apt-0482,Harry Houdini,Harry,Houdini,magician and escape artist,arts,,United States,1874,1926,wordplay,2,Houdini,"Houdini echoes French magician Jean Eugène Robert-Houdin, whose name he adapted.",,professional_name,https://en.wikipedia.org/wiki/Harry_Houdini,,,Birth name Erik Weisz. Audit: Houdini adapted Robert-Houdin name deliberately for magic career. Flagged automatically: connection wording asserts a loose link.,borderline
apt-0493,Henry Armstrong,Henry,Armstrong,boxer,sports,,United States,1912,1988,semantic,3,Armstrong,"Armstrong suggests a strong arm, fitting for a triple-division world champion.",,pseudonym,https://boxrec.com/en/box-pro/9018,,,Born Henry Jackson; took surname Armstrong from mentor Harry Armstrong. Flagged automatically: connection wording asserts a loose link.,borderline
apt-0504,Home Run Baker,Frank,Baker,MLB third baseman,sports,Philadelphia Athletics,United States,1886,1963,wordplay,5,Home Run,His nickname Home Run Baker matched his reputation as a power hitter.,,professional_name,https://www.baseball-reference.com/players/b/bakerfr01.shtml,,https://sabr.org/journal/article/when-did-frank-baker-become-home-run-baker/,"Listed as Home Run Baker; birth name John Franklin Baker. Audit: Frank Baker was called Home Run Baker after the home runs he hit in the 1911 World Series. The clearest possible case of a name awarded for the achievement it describes, and it was carrying a score of 5.",rejected
apt-0537,J.R. Smith,J.R.,Smith,NBA guard,sports,Cleveland Cavaliers,United States,1985,,phonetic,3,Swish,His nickname J.R. Swish names the sound of a made basket.,,professional_name,https://www.basketball-reference.com/players/s/smithjr01.html,,,"Earl Smith III; Swish is a nickname. Audit: Swish was a nickname awarded for his shooting, so the name describes the achievement rather than anticipating it.",rejected
apt-1291,John Owen Jones,John Owen,Jones,campaigning journalist,media,,United Kingdom,1861,1899,translation,3,Ap Ffarmwr,He wrote under the pen name Ap Ffarmwr meaning farmer's son in Welsh while campaigning for agricultural labourers.,Welsh: farmer's son (ap + ffarmwr),pseudonym,https://en.wikipedia.org/wiki/John_Owen_Jones_(Ap_Ffarmwr),https://en.wiktionary.org/wiki/ffarm,https://www.biography.wales/article/s1-JONE-OWN-1861,,verified
apt-0658,Jonatan Leandoer,Jonatan,Leandoer,rapper,arts,,Sweden,1996,,semantic,2,Lean,Lean names the opioid drink he referenced as rapper Yung Lean.,,professional_name,https://en.wikipedia.org/wiki/Yung_Lean,,https://en.wikipedia.org/wiki/Aptronym,Stage name Yung Lean; birth name Jonatan Leandoer Håstad. Audit: Stage name Yung Lean references lean drink; birth surname Leandoer not chosen for aptness.,verified
apt-0735,"Leon ""Stormy"" Rottman",Leon,Rottman,chief meteorologist,weather,KUSA Denver,United States,1918,2000,semantic,2,Stormy,His professional nickname Stormy matched the storms he forecast on Denver television.,,professional_name,https://en.wikipedia.org/wiki/Stormy_Rottman,https://en.wiktionary.org/wiki/stormy,https://www.washingtonpost.com/news/capital-weather-gang/wp/2016/03/16/the-20-funniest-and-most-fitting-names-in-weather/,"Birth name Leon Rottman; Stormy was station nickname. Audit: Stormy was a professional broadcast nickname, so the fit was manufactured by the job rather than coincidental. Was carrying a score of 5.",borderline
apt-0742,Lewis Carroll,Lewis,Carroll,author and mathematician,arts,,England,1832,1898,wordplay,3,Carroll,"Carroll echoes carol, a song form echoed in his nonsense verse.",,pseudonym,https://en.wikipedia.org/wiki/Lewis_Carroll,,,Birth name Charles Lutwidge Dodgson. Flagged automatically: connection wording asserts a loose link.,borderline
apt-0791,Marilyn vos Savant,Marilyn,vos Savant,columnist,media,,United States,1946,,translation,3,Savant,Savant denotes exceptional intelligence; she held highest recorded IQ.,"French: savant, learned person",professional_name,https://en.wikipedia.org/wiki/Marilyn_vos_Savant,https://en.wiktionary.org/wiki/savant,https://en.wikipedia.org/wiki/Aptronym,"Audit: Born Marilyn Mach; vos Savant is her mother's family name, which she adopted in preference to her father's, so the apt surname was chosen from within the family rather than inherited at birth. Wikipedia gives the birth name as Marilyn Mach.",probable
apt-0806,Mark Twain,Mark,Twain,novelist and humorist,arts,,United States,1835,1910,translation,4,Twain,"Twain is riverboat slang for two fathoms, apt for the Mississippi steamboat writer.",Mississippi River slang: two fathoms,pseudonym,https://en.wikipedia.org/wiki/Mark_Twain,https://www.etymonline.com/word/twain,,Birth name Samuel Langhorne Clemens.,verified
apt-0825,Max Pain Griffin,Max,Griffin,mixed martial artist,sports,,United States,1985,,semantic,4,Pain,"Pain is his fight nickname, apt for a professional MMA welterweight.",,professional_name,https://www.sherdog.com/fighter/Max-Griffin-53904,,,"Legal name Max Griffin; fights as Max Pain Griffin. Audit: Pain is a chosen fight name. A fighter who picks a menacing ring name is marketing, not nominative determinism.",rejected
apt-0851,Mickey Bass,Mickey,Bass,jazz bassist,arts,,United States,1943,2022,direct,5,Bass,"Bass is the instrument he played for Art Blakey, Sonny Rollins and Charles Mingus.",,professional_name,https://en.wikipedia.org/wiki/Mickey_Bass,,https://en.wikipedia.org/wiki/Aptronym,Birth name Lee Oddis Bass III.,verified
apt-0900,Paracelsus,Paracelsus,Paracelsus,physician and alchemist,medicine,,Switzerland,1493,1541,wordplay,3,Paracelsus,Paracelsus means beyond Celsus fitting a Renaissance physician who broke with Galenic tradition.,Latin: para + Celsus,pseudonym,https://en.wikipedia.org/wiki/Paracelsus,,,Birth name Theophrastus von Hohenheim; adopted Paracelsus.,verified
apt-1308,Paulinho Boca de Cantor,Paulinho,Boca de Cantor,singer and composer,arts,,Brazil,1946,,translation,4,Cantor,His stage surname Boca de Cantor includes cantor meaning singer in Portuguese.,Portuguese: singer (cantor),professional_name,https://en.wikipedia.org/wiki/Paulinho_Boca_de_Cantor,https://en.wiktionary.org/wiki/cantor#Portuguese,https://www.linoresende.jor.br/nomes-mais-que-apropriados/,,verified
apt-0938,Pinch Thomas,Pinch,Thomas,MLB catcher,sports,Boston Red Sox,United States,1888,1957,direct,4,Pinch,His first name Pinch is the baseball term for a substitute hitter.,,professional_name,https://www.baseball-reference.com/players/t/thomapi01.shtml,,,Birth name Chester David Thomas; Pinch was his longtime nickname.,verified
apt-0989,Ringo Starr,Ringo,Starr,drummer and singer,arts,The Beatles,England,1940,,semantic,2,Starr,"Starr evokes stars, apt for one of the world's most famous pop musicians.",,professional_name,https://en.wikipedia.org/wiki/Ringo_Starr,,https://en.wikipedia.org/wiki/Aptronym,Birth name Richard Starkey; Ringo from ring-shaped jewelry. Audit: Ringo Starr stage name from ring jewelry; Starr/star echo is weak on chosen professional name. Flagged automatically: connection wording asserts a loose link.,borderline
apt-0993,"Rob ""Sunny"" Roseman",Rob,Roseman,television meteorologist,weather,KUSA Denver,United States,1918,1993,semantic,2,Sunny,KUSA branded him Sunny and paired him with Stormy Rottman in Sunny days and Stormy nights ads.,,professional_name,https://en.wikipedia.org/wiki/Stormy_Rottman,https://en.wiktionary.org/wiki/sunny,,"Professional nickname Sunny assigned by KUSA. Audit: KUSA branded him Sunny specifically to pair him with Stormy Rottman, so the aptness was assigned by an employer for effect.",borderline
apt-0998,Robert Capa,Robert,Capa,war photographer,arts,Magnum Photos,Hungary,1913,1954,translation,2,Capa,"Capa means shark in Hungarian, apt for a photographer who swam into battle.",Hungarian: shark,pseudonym,https://en.wikipedia.org/wiki/Robert_Capa,https://en.wiktionary.org/wiki/cápa,,Birth name Endre Friedmann; chose Capa with Gerda Taro. Audit: Capa alias chosen with Gerda Taro for photography branding; birth name Endre Friedmann. Wikipedia gives the birth name as Endre Ernő Friedmann.,verified
apt-1029,Rowland Wolfe,Rowland,Wolfe,tumbler,sports,,United States,1914,2010,semantic,4,Flip,"Nicknamed Flip, he won Olympic gold in tumbling with aerial flipping skills.",,pseudonym,https://www.olympedia.org/athletes/31479,,,Birth name Merrill Rowland Wolfe; Flip was a lifelong nickname. Audit: Flip was a nickname awarded for his tumbling. The row's connection rests on the nickname rather than on his surname.,rejected
apt-1060,Satchel Paige,Satchel,Paige,Negro leagues and MLB pitcher,sports,Kansas City Monarchs,United States,1906,1982,semantic,3,Satchel,His nickname Satchel referred to the bag he carried as a porter before pitching.,,professional_name,https://www.baseball-reference.com/players/p/paigesa01.shtml,,,"Birth name Leroy Robert Paige. Audit: Satchel came from the bags he carried as a boy working as a railway porter. It describes an earlier job and has no relation to pitching, so it is not an aptronym for a pitcher.",rejected
apt-1074,Dr. Seuss,Dr.,Seuss,author and illustrator,arts,,United States,1904,1991,wordplay,3,Seuss,"Seuss echoes deuce and spruce, fitting the rhyming whimsy of his children's books.",,pseudonym,https://en.wikipedia.org/wiki/Dr._Seuss,,,Birth name Theodor Seuss Geisel; Seuss his middle name. Flagged automatically: connection wording asserts a loose link.,borderline
apt-1097,Sparky Lyle,Sparky,Lyle,MLB relief pitcher,sports,New York Yankees,United States,1944,,semantic,3,Sparky,His nickname Sparky suggested the lively fastball of a fireman reliever.,,professional_name,https://www.baseball-reference.com/players/l/lylesp01.shtml,,,"Birth name Albert Walter Lyle. Audit: The row argues the nickname suggested his fastball, which inverts the causation and is unsupported besides.",rejected
apt-1101,Stan Lee,Stan,Lee,comic book writer,arts,Marvel Comics,United States,1922,2018,wordplay,1,Lee,Lee suggests leading the Marvel universe he co-created.,,professional_name,https://en.wikipedia.org/wiki/Stan_Lee,,,"Birth name Stanley Martin Lieber. Audit: Lee suggests leading Marvel is vague on birth name Stanley Lieber. Audit: Connection reads ""Lee suggests leading"", which is not a meaning of the name; Lee is one of the commonest surnames in English and the professional name was chosen from Stanley Lieber. Wikipedia gives the birth name as Stanley Martin Lieber.",rejected
apt-1315,Stefano Disegni,Stefano,Disegni,satirical cartoonist,arts,,Italy,1953,,translation,3,Disegni,Disegni is the plural of drawing in Italian and he works as a vignettista and strip artist.,Italian: drawings (disegni),professional_name,https://it.wikipedia.org/wiki/Stefano_Disegni,https://it.wiktionary.org/wiki/disegno,https://www.nomix.it/nomi-mestieri-nomen-omen.php,Born Stefano Di Segni; Disegni is his professional name.,verified
apt-1112,Steve Wohlenhaus,Steve,Wohlenhaus,meteorologist,weather,KARE 11 Minneapolis,United States,,,semantic,4,Sunny,"He used the on-air persona Sunny Haus, a sunny-weather pun on his real surname.",,pseudonym,https://www.kare11.com/article/news/post-sven-sundgaard-destined-for-weather-greatness/89-86458546,https://en.wiktionary.org/wiki/sunny,,Stage persona Sunny Haus; birth name Steve Wohlenhaus.,verified
apt-1115,Sting,Sting,,singer-songwriter,arts,The Police,England,1951,1984,semantic,4,Sting,Sting names the sharp vocal attack of the former Police frontman.,,professional_name,https://en.wikipedia.org/wiki/Sting_(musician),,https://en.wikipedia.org/wiki/Aptronym,"Birth name Gordon Matthew Thomas Sumner; nickname from a striped sweater. Audit: Sting nickname came from black-and-yellow striped sweater (wasp), not vocal attack; connection invented.",rejected
apt-1158,Tiger Jack Payne,Tiger Jack,Payne,boxer,sports,,United States,,,semantic,4,Payne,"Payne and Tiger evoke pain and ferocity, apt for a hard-hitting light heavyweight.",,pseudonym,https://boxrec.com/en/box-pro/35579,,,Also known as Jack Payne. Flagged automatically: connection wording asserts a loose link.,borderline
apt-1320,Tuomari Nurmio,Tuomari,Nurmio,rock singer-songwriter,arts,,Finland,1950,,translation,3,Tuomari,He performs as Tuomari Nurmio because tuomari means judge in Finnish and he holds a law degree.,Finnish: judge (tuomari),professional_name,https://en.wikipedia.org/wiki/Tuomari_Nurmio,https://en.wiktionary.org/wiki/tuomari,,Birth name Hannu Juhani Nurmio; stage name references his legal qualification.,verified
apt-1193,Victor Martinez,Victor,Martinez,barber,trades,,Spain,,,semantic,3,Barber,"Known professionally as Victor Barber, he cuts hair for tennis star Carlos Alcaraz.",,professional_name,https://www.benrothenberg.com/p/victor-barber-carlos-alcaraz-hair-victor-martinez-cutting-words-interview-tennis-french-open-roland-garros-haircut,,,Instagram handle @victorbarbers5.,verified
apt-1195,Vijay Merchant,Vijay,Merchant,cricketer,sports,India,India,1911,1987,semantic,2,Merchant,"His surname Merchant names a trader, opening the ESPNcricinfo profession XI.",,professional_name,https://en.wikipedia.org/wiki/Vijay_Merchant,,https://www.espncricinfo.com/story/espncricinfo-xi-cricketers-names-that-are-also-professions-722219,"First-class batting average 71.64. Audit: Born Vijay Madhavji Thackersey; Merchant was adopted, and the only stated basis for the entry is inclusion in an ESPNcricinfo novelty XI rather than any link between the name and cricket. Wikipedia gives the birth name as Vijay Madhavji Thackersey.",borderline
apt-1239,William Moody,William,Moody,mortician,trades,,United States,1954,2013,wordplay,5,Bearer,"As licensed mortician William Moody he used the ring name Paul Bearer, a pun on pallbearer.",,professional_name,https://en.wikipedia.org/wiki/Paul_Bearer,https://www.etymonline.com/word/pallbearer,https://encyclopediaofalabama.org/article/william-moody/,Also WWE manager of The Undertaker; degree in mortuary science.,verified
apt-1256,Woody Allen,Woody,Allen,film director and comedian,arts,,United States,1935,,semantic,1,Allen,"Allen is a common surname; Woody adds timber, a weak link to his neurotic New York films.",,professional_name,https://en.wikipedia.org/wiki/Woody_Allen,,,Birth name Allan Stewart Konigsberg. Audit: Woody Allen adds timber to common Allen surname; professional name Allan Konigsberg. Audit: Connection concedes Allen is a common surname and that the timber reading of Woody is weak; the name is a chosen professional name over Allan Konigsberg. Wikipedia gives the birth name as Allan Stewart Konigsberg.,rejected
apt-1257,World B. Free,Lloyd,Free,NBA guard,sports,Philadelphia 76ers,United States,1953,,wordplay,4,Free,His adopted name World B. Free evokes free throws and freelancing offense.,,professional_name,https://www.basketball-reference.com/players/f/freewo01.html,,,Birth name Lloyd Bernard Free; changed to World B. Free. Flagged automatically: connection wording asserts a loose link.,borderline
apt-1323,Yamamotoyama Ryūta,Yamamotoyama,Ryūta,sumo wrestler,sports,Japan Sumo Association,Japan,1984,,translation,4,yama,"Yama means mountain in his shikona, fitting one of the heaviest Japanese sumo wrestlers.",Japanese: mountain,professional_name,https://en.wikipedia.org/wiki/Yamamotoyama_Ry%C5%ABta,https://en.wiktionary.org/wiki/%E5%B1%B1,,Birth name Yamamoto Ryūichi; shikona adds yama (mountain).,verified
apt-1324,Zé Cantor,Zé,Cantor,forró singer,arts,,Brazil,1971,,translation,3,Cantor,His stage name Zé Cantor pairs the word cantor meaning singer in Portuguese with his career as a vocalist.,Portuguese: singer (cantor),professional_name,https://pt.wikipedia.org/wiki/Z%C3%A9_Cantor,https://en.wiktionary.org/wiki/cantor#Portuguese,,Given name José Raimundo de Lima; Cantor was assigned by João Bandeira.,verified
