id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Mark De Man,Mark,De Man,football defender,sports,,Belgium,,,wordplay,4,De Man,"His surname reads as marking an opposing player, a defender's task.",,birth_name,https://en.wikipedia.org/wiki/Mark_De_Man,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Creflo Dollar,Creflo,Dollar,megachurch pastor,religion,World Changers Church International,United States,,,semantic,4,Dollar,"His surname names money, contrasting with his wealth-preaching ministry.",,birth_name,https://en.wikipedia.org/wiki/Creflo_Dollar,,https://en.wikipedia.org/wiki/Aptronym,,verified
,David Dollar,David,Dollar,economist,science,World Bank,United States,,,semantic,4,Dollar,His surname is a unit of currency studied by economists.,,birth_name,https://en.wikipedia.org/wiki/David_Dollar,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Carla Dove,Carla,Dove,ornithologist,science,Smithsonian Institution,United States,,,semantic,5,Dove,Her surname names a bird species she studies professionally.,,birth_name,https://en.wikipedia.org/wiki/Carla_Dove,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Storm Dunlop,Storm,Dunlop,meteorologist,weather,,England,,,semantic,5,Storm,"His forename names severe weather, fitting a meteorology author.",,birth_name,https://en.wikipedia.org/wiki/Storm_Dunlop,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Josh Earnest,Josh,Earnest,White House press secretary,politics,Obama administration,United States,,,semantic,3,Earnest,"His surname suggests sincerity, a quality expected of a spokesperson.",,birth_name,https://en.wikipedia.org/wiki/Josh_Earnest,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Amy Freeze,Amy,Freeze,meteorologist,weather,WABC-TV,United States,,,semantic,5,Freeze,Her surname evokes cold weather she reports on.,,birth_name,https://en.wikipedia.org/wiki/Amy_Freeze,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Learned Hand,Learned,Hand,federal judge,law,,United States,1872,1961,semantic,4,Hand,A judge's craft is often called the learned hand of the law.,,birth_name,https://en.wikipedia.org/wiki/Learned_Hand,,https://en.wikipedia.org/wiki/Aptronym,,verified
,William Headline,William,Headline,journalist,media,CNN,United States,1931,2008,wordplay,4,Headline,His surname is a newsroom term for a story title.,,birth_name,https://en.wikipedia.org/wiki/William_Headline,,https://en.wikipedia.org/wiki/Aptronym,Surname Americanized from Swedish ancestor.,verified
,Sunny Hostin,Sunny,Hostin,television host,media,The View,United States,,,wordplay,4,Hostin,"Her surname is a near-homophone of hosting, her television role.",,birth_name,https://en.wikipedia.org/wiki/Sunny_Hostin,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Igor Judge,Igor,Judge,Lord Chief Justice,law,,England,1941,,direct,5,Judge,His surname is the judicial office he held.,,birth_name,https://en.wikipedia.org/wiki/Igor_Judge,,https://en.wikipedia.org/wiki/Aptronym,,verified
,John Laws,John,Laws,Lord Justice of Appeal,law,,England,1945,,semantic,4,Laws,His surname names the body of rules he interpreted as an appellate judge.,,birth_name,https://en.wikipedia.org/wiki/John_Laws,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Chris Moneymaker,Chris,Moneymaker,poker player,sports,,United States,1975,,wordplay,5,Moneymaker,"His surname describes winning money, which he did at the 2003 World Series of Poker.",,birth_name,https://en.wikipedia.org/wiki/Chris_Moneymaker,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Eugenius Outerbridge,Eugenius,Outerbridge,port authority chairman,transport,Port Authority of New York and New Jersey,United States,1867,1932,wordplay,4,Outerbridge,"He namesake of the Outerbridge Crossing, the outermost bridge between New York and New Jersey.",,birth_name,https://en.wikipedia.org/wiki/Eugenius_Harvey_Outerbridge,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Francine Prose,Francine,Prose,novelist,arts,,United States,1947,,direct,5,Prose,Her surname is the literary form she writes.,,birth_name,https://en.wikipedia.org/wiki/Francine_Prose,,https://en.wikipedia.org/wiki/Aptronym,Family shortened surname on arrival in the US; did not choose Prose for literary effect.,verified
,Daniel Snowman,Daniel,Snowman,historian,science,,England,,,semantic,4,Snowman,"His surname evokes snow, fitting an author of polar exploration books.",,birth_name,https://en.wikipedia.org/wiki/Daniel_Snowman,,https://en.wikipedia.org/wiki/Nominative_determinism,,verified
,Larry Speakes,Larry,Speakes,White House press secretary,politics,,United States,1939,2014,phonetic,4,Speakes,"His surname is a homophone of speaks, the core act of a spokesperson.",,birth_name,https://en.wikipedia.org/wiki/Larry_Speakes,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Scott Speed,Scott,Speed,race car driver,sports,,United States,1983,,semantic,5,Speed,"His surname names velocity, the essence of motorsport.",,birth_name,https://en.wikipedia.org/wiki/Scott_Speed,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Dávid Strelec,Dávid,Strelec,football forward,sports,,Slovakia,2001,,translation,4,Strelec,"Strelec means shooter or striker in Slovak, a forward's role.","Slovak: shooter, striker",birth_name,https://en.wikipedia.org/wiki/D%C3%A1vid_Strelec,https://en.wiktionary.org/wiki/strelec,https://en.wikipedia.org/wiki/Aptronym,,verified
,Eugène Terre'Blanche,Eugène,Terre'Blanche,white nationalist leader,politics,,South Africa,1941,2010,translation,4,Terre'Blanche,His surname means white land in French.,French: white land,birth_name,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Terre%27Blanche,https://en.wiktionary.org/wiki/terre,https://en.wikipedia.org/wiki/Aptronym,,verified
,Anthony Weiner,Anthony,Weiner,politician,politics,,United States,1964,,semantic,4,Weiner,His surname became ironic during sexting scandals involving explicit photos.,,birth_name,https://en.wikipedia.org/wiki/Anthony_Weiner,,https://en.wikipedia.org/wiki/Aptronym,,verified
,William Wordsworth,William,Wordsworth,poet,arts,,England,1770,1850,wordplay,4,Wordsworth,"His surname combines words and worth, fitting a poet of language.",,birth_name,https://en.wikipedia.org/wiki/William_Wordsworth,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Wolfgang Wolf,Wolfgang,Wolf,football manager,sports,VfL Wolfsburg,Germany,,,semantic,5,Wolf,He managed a club whose name and mascot are wolves.,,birth_name,https://en.wikipedia.org/wiki/Wolfgang_Wolf,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Tiger Woods,Tiger,Woods,golfer,sports,,United States,1975,,semantic,4,Woods,A wood is a type of golf club.,,birth_name,https://en.wikipedia.org/wiki/Tiger_Woods,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Mary Yu,Mary,Yu,Washington Supreme Court justice,law,,United States,,,phonetic,3,Yu,"Her surname sounds like you, fitting a judge who officiated same-sex marriages.",,birth_name,https://en.wikipedia.org/wiki/Mary_Yu,,https://en.wikipedia.org/wiki/Aptronym,,probable
,Max Schreck,Max,Schreck,actor,arts,,Germany,1879,1936,translation,4,Schreck,Schreck means fright in German; he played the vampire Count Orlok in Nosferatu.,"German: fright, terror",birth_name,https://en.wikipedia.org/wiki/Max_Schreck,https://en.wiktionary.org/wiki/Schreck,https://en.wikipedia.org/wiki/Aptronym,,verified
,Péter Magyar,Péter,Magyar,prime minister,politics,,Hungary,,,translation,4,Magyar,"Magyar is the Hungarian word for Hungarian, fitting Hungary's prime minister.",Hungarian: Hungarian (ethnonym),birth_name,https://en.wikipedia.org/wiki/P%C3%A9ter_Magyar,https://en.wiktionary.org/wiki/magyar,https://en.wikipedia.org/wiki/Aptronym,,verified
,Nicolae Militaru,Nicolae,Militaru,defense minister,military,,Romania,1925,1996,translation,4,Militaru,"Militaru derives from military, fitting a defense minister.",Romanian: military,birth_name,https://en.wikipedia.org/wiki/Nicolae_Militaru,https://en.wiktionary.org/wiki/militar,https://en.wikipedia.org/wiki/Aptronym,,verified
,Auguste Lumière,Auguste,Lumière,cinema pioneer,arts,Lumière Company,France,1862,1954,translation,4,Lumière,Lumière means light in French; early film depended on light.,French: light,birth_name,https://en.wikipedia.org/wiki/Auguste_and_Louis_Lumi%C3%A8re,https://en.wiktionary.org/wiki/lumi%C3%A8re,https://en.wikipedia.org/wiki/Aptronym,,verified
,Louis Lumière,Louis,Lumière,cinema pioneer,arts,Lumière Company,France,1864,1948,translation,4,Lumière,Lumière means light in French; early film depended on light.,French: light,birth_name,https://en.wikipedia.org/wiki/Auguste_and_Louis_Lumi%C3%A8re,https://en.wiktionary.org/wiki/lumi%C3%A8re,https://en.wikipedia.org/wiki/Aptronym,,verified
,Gary Bowser,Gary,Bowser,game console hacker,crime,,United States,,,other,1,Bowser,"Wikipedia cites Nintendo's Mario villain Bowser, not an occupational name link.",,birth_name,https://en.wikipedia.org/wiki/Gary_Bowser_(hacker),,https://en.wikipedia.org/wiki/Aptronym,"Rejected: aptronym reading depends on fictional Super Mario character, not occupation.",rejected
,Doug Bowser,Doug,Bowser,Nintendo of America president,business,Nintendo of America,United States,,,other,1,Bowser,Listed mainly because he shares a name with Nintendo's Mario villain.,,birth_name,https://en.wikipedia.org/wiki/Doug_Bowser,,https://en.wikipedia.org/wiki/Aptronym,"Rejected: name link is to fictional character, not his executive role.",rejected
,Neversink,,Neversink,submerged town,other,,United States,,,ironic,1,Neversink,"Wikipedia lists a town submerged by Neversink Reservoir, not a person.",,unknown,https://en.wikipedia.org/wiki/Aptronym,,https://en.wikipedia.org/wiki/Aptronym,"Rejected: place name, not an identifiable person.",rejected
,Ciro Immobile,Ciro,Immobile,footballer,sports,,Italy,1990,,translation,2,Immobile,"Immobile means motionless in Italian, ironic for an agile forward.","Italian: immobile, motionless",birth_name,https://en.wikipedia.org/wiki/Ciro_Immobile,https://en.wiktionary.org/wiki/immobile,https://en.wikipedia.org/wiki/Aptronym,"Listed as inaptronym: he is known for movement, contrary to surname meaning.",verified
,Claudio Gentile,Claudio,Gentile,footballer,sports,,Italy,1953,,translation,2,Gentile,"Gentile means gentle in Italian, ironic for a famously tough defender.","Italian: gentle, kind",birth_name,https://en.wikipedia.org/wiki/Claudio_Gentile,https://en.wiktionary.org/wiki/gentile,https://en.wikipedia.org/wiki/Aptronym,Inaptronym: renowned hard-man defender.,verified
,Kevin Admiral,Kevin,Admiral,U.S. Army general,military,,United States,,,ironic,4,Admiral,His surname is a naval rank though he became an Army brigadier general.,,birth_name,https://en.wikipedia.org/wiki/Aptronym,,https://en.wikipedia.org/wiki/Aptronym,Inaptronym; verified via Fox News report on promotion cited on Wikipedia.,probable
,Rob Banks,Rob,Banks,police officer,law,,England,,,ironic,5,Banks,"Rob banks means to steal from banks, opposite of a police officer's duty.",,birth_name,https://en.wikipedia.org/wiki/Aptronym,,https://en.wikipedia.org/wiki/Aptronym,Inaptronym; widely reported British PC.,verified
,Frank Beard,Frank,Beard,drummer,arts,ZZ Top,United States,1949,,ironic,4,Beard,He was long the only ZZ Top member without a beard.,,birth_name,https://en.wikipedia.org/wiki/Frank_Beard_(musician),,https://en.wikipedia.org/wiki/Aptronym,,verified
,Don Black,Don,Black,white supremacist,politics,,United States,1933,,ironic,4,Black,His surname names a color associated with his racist ideology's targets.,,birth_name,https://en.wikipedia.org/wiki/Don_Black_(white_supremacist),,https://en.wikipedia.org/wiki/Aptronym,Inaptronym.,verified
,Jimmy Doolittle,Jimmy,Doolittle, bombing raid commander,military,,United States,1896,1993,ironic,4,Doolittle,He led a major WWII bombing raid despite a surname suggesting doing little.,,birth_name,https://en.wikipedia.org/wiki/Jimmy_Doolittle,,https://en.wikipedia.org/wiki/Aptronym,Inaptronym; contemporary press mocked the name contrast.,verified
,Matt Gobush,Matt,Gobush,Democratic campaign spokesperson,politics,,United States,,,ironic,4,Gobush,"His surname sounds like go Bush, ironic for a Democrat who lost to George W. Bush.",,birth_name,https://slate.com/news-and-politics/2003/07/matt-gobush-democrat.html,,https://slate.com/news-and-politics/2003/07/matt-gobush-democrat.html,,verified
,Jaime Sin,Jaime,Sin,Catholic cardinal,religion,,Philippines,1928,2005,ironic,5,Sin,As Cardinal Sin his title became an oxymoron about virtue and vice.,,birth_name,https://en.wikipedia.org/wiki/Jaime_Sin,,https://en.wikipedia.org/wiki/Aptronym,Inaptronym; he joked about the title.,verified
,Danielle Outlaw,Danielle,Outlaw,police commissioner,law,,United States,,,ironic,4,Outlaw,Her surname names criminals though she leads police.,,birth_name,https://en.wikipedia.org/wiki/Danielle_Outlaw,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Larry Playfair,Larry,Playfair,ice hockey player,sports,,Canada,1960,,ironic,3,Playfair,His surname suggests fair play though he was known for fighting.,,birth_name,https://en.wikipedia.org/wiki/Larry_Playfair,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Bob Walk,Bob,Walk,baseball pitcher,sports,,United States,1956,,ironic,3,Walk,"A walk is a base on balls, undesirable for a pitcher.",,birth_name,https://en.wikipedia.org/wiki/Bob_Walk,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Robin Mahfood,Robin,Mahfood,nonprofit CEO,business,Food For The Poor,United States,,,phonetic,4,Mahfood,"His name sounds like robbing my food, ironic for a hunger-relief charity CEO.",,birth_name,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,,verified
,A. J. Splatt,A. J.,Splatt,urologist,medicine,,,,,phonetic,3,Splatt,Co-authored a urology paper that launched New Scientist's nominative determinism column.,,unknown,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,Full given name Anthony; paper with D. Weedon 1977.,probable
,D. Weedon,D.,Weedon,urologist,medicine,,,,,semantic,3,Weedon,Co-authored urology research paired with Splatt in the New Scientist origin story.,,unknown,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,,probable
,Richard Trench,Richard,Trench,author,science,,,,,semantic,3,Trench,He co-wrote London Under London about subterranean tunnels.,,birth_name,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,,probable
,Mark L. Prophet,Mark L.,Prophet,religious leader,religion,The Summit Lighthouse,United States,1918,1973,direct,4,Prophet,His surname is the religious role he claimed.,,birth_name,https://en.wikipedia.org/wiki/Mark_L._Prophet,,https://en.wikipedia.org/wiki/Nominative_determinism,,verified
,Sigmund Freud,Sigmund,Freud,psychiatrist,medicine,,Austria,1856,1939,translation,3,Freud,Freude means joy in German; Jung cited him studying pleasure.,German: joy (Freude),birth_name,https://en.wikipedia.org/wiki/Sigmund_Freud,https://en.wiktionary.org/wiki/Freude,https://en.wikipedia.org/wiki/Nominative_determinism,,verified
,James Counsell,James,Counsell,barrister,law,,England,,,phonetic,4,Counsell,"His surname is a homophone of counsel, the legal advice barristers give.",,birth_name,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,,probable
,Sue Yoo,Sue,Yoo,lawyer,law,Sullivan & Cromwell,United States,,,phonetic,5,Yoo,"Her name sounds like sue you, fitting a litigator.",,birth_name,https://slate.com/news-and-politics/2006/05/aptronym-watch-sue-yoo-too.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Storm Field,Storm,Field,weather reporter,weather,,United States,,,semantic,4,Storm,His forename names severe weather he reports on.,,birth_name,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,,probable
,Lewis Lipsitt,Lewis,Lipsitt,psychology professor,science,Brown University,United States,,,semantic,3,Lipsitt,"He studied infant sucking behavior, linking lips in his surname.",,birth_name,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,,probable
,Michael Vickers,Michael,Vickers,Anglican vicar,religion,,England,,,phonetic,3,Vickers,"His surname evokes vicar, the clerical role he holds.",,birth_name,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,verified
,Frances Crook,Frances,Crook,prison reform campaigner,law,Howard League for Penal Reform,England,,,wordplay,4,Crook,Her surname suggests criminals though she advocates prison reform.,,birth_name,https://en.wikipedia.org/wiki/Frances_Crook,,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,verified
,Mark Avery,Mark,Avery,conservation director,science,RSPB,England,,,semantic,3,Avery,"His surname relates to birds via aviary, fitting an ornithology conservationist.",,birth_name,https://en.wikipedia.org/wiki/Mark_Avery,,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,verified
,Bruno Fromage,Bruno,Fromage,dairy company managing director,business,Danone UK,France,,,translation,5,Fromage,Fromage means cheese in French; he leads a dairy company.,French: cheese,birth_name,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,https://en.wiktionary.org/wiki/fromage,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,probable
,Rem Koolhaas,Rem,Koolhaas,architect,arts,,Netherlands,1944,,phonetic,3,Koolhaas,"His surname sounds like cool house in Dutch/English, fitting an architect.",,birth_name,https://en.wikipedia.org/wiki/Rem_Koolhaas,,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,verified
,Dominique Dropsy,Dominique,Dropsy,goalkeeper,sports,,France,1951,,semantic,4,Dropsy,"Dropsy suggests dropping the ball, relevant to a goalkeeper.",,birth_name,https://en.wikipedia.org/wiki/Dominique_Dropsy,,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,verified
,Rod Muddle,Rod,Muddle,aviation planner,transport,,,,,semantic,3,Muddle,His surname suggests confusion though he plans aviation routes.,,birth_name,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,http://news.bbc.co.uk/today/hi/today/newsid_9664000/9664697.stm,,borderline
,Lieutenant Mike Kafka,Mike,Kafka,Navy spokesman,military,U.S. Navy,United States,,,semantic,3,Kafka,He spoke for Guantanamo Bay amid Kafkaesque legal controversy.,,birth_name,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,,probable
,Lionel Tiger,Lionel,Tiger,anthropologist,science,,,,,semantic,3,Tiger,He co-authored The Imperial Animal about human nature.,,birth_name,https://en.wikipedia.org/wiki/Lionel_Tiger,,https://en.wikipedia.org/wiki/Nominative_determinism,,verified
,Robin Fox,Robin,Fox,anthropologist,science,,,,,semantic,3,Fox,He co-authored The Imperial Animal about human nature.,,birth_name,https://en.wikipedia.org/wiki/Robin_Fox,,https://en.wikipedia.org/wiki/Nominative_determinism,,verified
,Alfred Hitchcock,Alfred,Hitchcock,police knife-crime spokesman,law,Association of Chief Police Officers,England,,,semantic,3,Hitchcock,He shared a surname with the master of suspense while discussing knife crime.,,birth_name,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,Not the film director; ACPO spokesman.,probable
,Charol Shakeshaft,Charol,Shakeshaft,education researcher,education,,United States,,,semantic,4,Shakeshaft,She researches educator sexual misconduct.,,birth_name,https://en.wikipedia.org/wiki/Charol_Shakeshaft,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Alan Heavens,Alan,Heavens,astronomer,science,,United States,,,semantic,4,Heavens,His surname names the sky studied by astronomers.,,birth_name,https://en.wikipedia.org/wiki/Alan_Heavens,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Margaret Spellings,Margaret,Spellings,U.S. Secretary of Education,politics,,United States,,,semantic,4,Spellings,"Her surname evokes spelling, core to education.",,birth_name,https://en.wikipedia.org/wiki/Margaret_Spellings,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Jeffrey M. Advokat,Jeffrey,Advokat,lawyer,law,,United States,,,translation,5,Advokat,Advokat means lawyer in several European languages.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,https://en.wiktionary.org/wiki/advokat,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Jack Christ,Jack,Christ,leadership professor,education,,United States,,,semantic,3,Christ,"His surname evokes Christ, fitting religious leadership studies.",,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,David Bird,David,Bird,ornithologist,science,,United States,,,semantic,5,Bird,His surname names the animals he studies.,,birth_name,https://www.mcgill.ca/avianscience/people/david-bird,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Wayne Schmuck,Wayne,Schmuck,used-car distributor,business,,United States,,,translation,4,Schmuck,Schmuck is Yiddish/German slang for a foolish person; he sold rolled-back odometer cars.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,https://en.wiktionary.org/wiki/schmuck,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Tony Snow,Tony,Snow,White House press secretary,politics,,United States,,,semantic,4,Snow,"Snowing is slang for misleading spin, associated with press secretaries.",,birth_name,https://en.wikipedia.org/wiki/Tony_Snow,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Richard Chopp,Richard,Chopp,urologist,medicine,,United States,,,wordplay,5,Chopp,"Known as Dr. Dick Chopp, his name is a urology pun.",,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,William Dement,William,Dement,sleep researcher,medicine,,United States,,,semantic,4,Dement,His surname relates to dementia and disordered consciousness in sleep medicine.,,birth_name,https://en.wikipedia.org/wiki/William_Dement,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,Scott Goodyear,Scott,Goodyear,race car driver,sports,,United States,,,wordplay,3,Goodyear,He shares a name with the tire brand used in racing.,,birth_name,https://en.wikipedia.org/wiki/Scott_Goodyear,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,verified
,John C. Chicken,John,Chicken,risk management author,science,,United States,,,semantic,3,Chicken,He wrote The Philosophy of Risk about not being chicken.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Dean Boring,Dean,Boring,office supplies executive,business,,United States,,,semantic,3,Boring,He leads Boring Office Supplies.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Kevin Blinder,Kevin,Blinder,ophthalmologist,medicine,,United States,,,wordplay,4,Blinder,His surname evokes blinders and eyesight.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Allen Korn,Allen,Korn,podiatrist,medicine,,United States,,,phonetic,3,Korn,Corn is a common foot ailment treated by podiatrists.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,John Lawless,John,Lawless,police officer,law,,United States,,,ironic,4,Lawless,His surname means without law though he enforces it.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Roberta L. Nutt,Roberta,Nutt,counseling psychology professor,education,,United States,,,semantic,3,Nutt,Slang nut refers to mental state studied in counseling psychology.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Ann Greathouse,Ann,Greathouse,realtor,business,,United States,,,semantic,4,Greathouse,Her surname sells the product realtors market.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
,Terry Godlove,Terry,Godlove,religion professor,education,,United States,,,wordplay,4,Godlove,His surname combines God and love in religious studies.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
